HomeTeam,AwayTeam,Date,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
54,47,10/08/2018,2,1,H,1,0,H,8,13,6,4,11,8,2,5,2,1,0,0
11,21,11/08/2018,2,0,H,1,0,H,12,10,4,1,11,9,7,4,1,1,0,0
39,31,11/08/2018,0,2,A,0,1,A,15,10,6,9,9,11,5,5,1,2,0,0
43,24,11/08/2018,0,3,A,0,2,A,6,13,1,4,9,8,2,5,2,1,0,0
60,88,11/08/2018,1,2,A,1,2,A,15,15,2,5,11,12,3,5,2,2,0,0
91,14,11/08/2018,2,0,H,1,0,H,19,6,5,0,10,16,8,2,2,2,0,0
95,35,11/08/2018,2,2,D,1,1,D,11,6,4,5,8,7,3,6,0,1,0,1
3,53,12/08/2018,0,2,A,0,1,A,9,17,3,8,11,14,2,9,2,2,0,0
50,93,12/08/2018,4,0,H,2,0,H,18,5,8,2,14,9,5,4,1,2,0,0
81,17,12/08/2018,0,0,D,0,0,D,18,16,3,6,10,9,8,5,0,1,0,0
21,60,18/08/2018,0,0,D,0,0,D,12,12,1,6,14,16,5,5,2,2,0,1
24,3,18/08/2018,3,2,H,2,2,D,24,15,11,6,12,9,5,1,0,2,0,0
35,81,18/08/2018,2,1,H,2,0,H,13,15,7,4,8,20,2,5,0,5,0,0
47,95,18/08/2018,2,0,H,2,0,H,6,11,2,3,10,8,1,9,2,1,1,0
88,39,18/08/2018,3,1,H,1,0,H,25,10,11,3,9,5,5,2,0,0,0,0
93,11,18/08/2018,1,2,A,1,0,H,11,12,5,5,14,10,6,4,6,2,0,0
14,54,19/08/2018,3,2,H,3,1,H,6,9,3,3,16,13,3,5,1,1,0,0
17,91,19/08/2018,1,3,A,1,1,D,8,9,3,6,8,19,5,2,1,2,0,0
53,43,19/08/2018,6,1,H,3,1,H,32,5,14,1,9,4,10,3,0,2,0,0
31,50,20/08/2018,0,2,A,0,1,A,8,16,2,6,6,13,6,7,1,1,1,0
3,93,25/08/2018,3,1,H,1,1,D,17,13,10,5,16,13,10,2,1,3,0,0
11,35,25/08/2018,2,2,D,0,0,D,17,11,5,3,12,10,6,2,0,3,1,1
43,21,25/08/2018,0,0,D,0,0,D,5,14,1,4,8,10,7,7,0,1,1,0
